date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:20:39	74005/74005	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Apr%202020%2012:50:23%20GMT	http://kamleshyadav.com/html/portfolio/black_version/images/content/serv3.jpg	kamleshyadav.com/html/portfolio/black_version/images/content/serv3.jpg	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:20:39	103958/103958	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Apr%202020%2012:50:19%20GMT	http://kamleshyadav.com/html/portfolio/black_version/images/content/serv1.jpg	kamleshyadav.com/html/portfolio/black_version/images/content/serv1.jpg	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:20:39	3633/3633	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Apr%202020%2012:50:35%20GMT	http://kamleshyadav.com/html/portfolio/black_version/images/content/serv_icon2.png	kamleshyadav.com/html/portfolio/black_version/images/content/serv_icon2.png	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:20:39	5814/5814	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Apr%202020%2012:50:36%20GMT	http://kamleshyadav.com/html/portfolio/black_version/images/content/serv_icon3.png	kamleshyadav.com/html/portfolio/black_version/images/content/serv_icon3.png	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:20:41	4252/4252	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Apr%202020%2012:50:37%20GMT	http://kamleshyadav.com/html/portfolio/black_version/images/content/serv_icon4.png	kamleshyadav.com/html/portfolio/black_version/images/content/serv_icon4.png	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:20:41	2663/2663	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Apr%202020%2012:50:38%20GMT	http://kamleshyadav.com/html/portfolio/black_version/images/content/counter_1.png	kamleshyadav.com/html/portfolio/black_version/images/content/counter_1.png	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:20:42	2588/2588	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Apr%202020%2012:50:39%20GMT	http://kamleshyadav.com/html/portfolio/black_version/images/content/counter_2.png	kamleshyadav.com/html/portfolio/black_version/images/content/counter_2.png	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:20:43	3278/3278	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Apr%202020%2012:50:40%20GMT	http://kamleshyadav.com/html/portfolio/black_version/images/content/counter_3.png	kamleshyadav.com/html/portfolio/black_version/images/content/counter_3.png	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:20:44	7648/7648	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Apr%202020%2012:50:41%20GMT	http://kamleshyadav.com/html/portfolio/black_version/images/content/client1.png	kamleshyadav.com/html/portfolio/black_version/images/content/client1.png	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:20:45	5915/5915	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Apr%202020%2012:50:42%20GMT	http://kamleshyadav.com/html/portfolio/black_version/images/content/client2.png	kamleshyadav.com/html/portfolio/black_version/images/content/client2.png	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:20:46	3263/3263	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Apr%202020%2012:50:43%20GMT	http://kamleshyadav.com/html/portfolio/black_version/images/content/client3.png	kamleshyadav.com/html/portfolio/black_version/images/content/client3.png	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
